feature,coefficient,abs_coefficient
perceived_network_risk,-0.7651888732433814,0.7651888732433814
race_2,0.6565510459727552,0.6565510459727552
college,-0.6339641068848448,0.6339641068848448
president_approval,-0.60615173347967,0.60615173347967
age,-0.5758092569471552,0.5758092569471552
doctor_comfort,-0.4819093102569038,0.4819093102569038
trust_science_community,-0.454983316723331,0.454983316723331
condition_immune,-0.4271140224145412,0.4271140224145412
party_id_Other party,0.42519813495320946,0.42519813495320946
condition_organ,0.3350559140742568,0.3350559140742568
infected_personal,0.26833043760047903,0.26833043760047903
trump_approval_retrospective,0.25211796517526397,0.25211796517526397
male,-0.2273452741308966,0.2273452741308966
evangelical,0.2204344799921073,0.2204344799921073
perceived_personal_riskq297_4,0.1918821991530233,0.1918821991530233
party_id_Libertarian,0.1914116694118813,0.1914116694118813
race_4,-0.16135003627392905,0.16135003627392905
pandemic_impact_personal,-0.1584061347892306,0.1584061347892306
condition_pregnant,-0.15220894053748682,0.15220894053748682
income,-0.15202115836312774,0.15202115836312774
condition_lung,0.15044424494278086,0.15044424494278086
trust_science_polmotives,-0.14020457705962028,0.14020457705962028
party_id_Independent,0.13532504286844638,0.13532504286844638
trust_gov_state,0.13408281241571537,0.13408281241571537
infected_network,-0.13172623182219556,0.13172623182219556
individual_responsibility,0.12649761119763883,0.12649761119763883
party_id_Republican,-0.1185971483891668,0.1185971483891668
nsindex,-0.10279412568190631,0.10279412568190631
fear_needles,0.08360039302472398,0.08360039302472398
race_3,0.08221234691535259,0.08221234691535259
psindex,0.05269213743817382,0.05269213743817382
condition_asthma,0.05192891431241843,0.05192891431241843
condition_heart,-0.049023464386720235,0.049023464386720235
condition_obesity,0.03174113486775186,0.03174113486775186
condition_diabetes,-0.027021163770595026,0.027021163770595026
county_density,-0.024126682254805007,0.024126682254805007
trust_science_politicians,0.02263558778521116,0.02263558778521116
trust_gov_local,-0.02120680315810231,0.02120680315810231
trust_media,0.01657238327117764,0.01657238327117764
trust_science_media,0.011207356807618156,0.011207356807618156
pandemic_impact_network,0.010644319885727104,0.010644319885727104
trust_gov_nat,-0.0061765579860601095,0.0061765579860601095
