feature,coefficient,abs_coefficient
perceived_network_risk,-0.7815861489779691,0.7815861489779691
race_2,0.7368849041483448,0.7368849041483448
president_approval,-0.7103065225064685,0.7103065225064685
college,-0.6838585582183943,0.6838585582183943
age,-0.5867396441335357,0.5867396441335357
doctor_comfort,-0.48536788210788767,0.48536788210788767
condition_immune,-0.4579986250197967,0.4579986250197967
trust_science_community,-0.4562776177073473,0.4562776177073473
party_id_Other party,0.414126788528349,0.414126788528349
condition_organ,0.30197729178585014,0.30197729178585014
infected_personal,0.2284351557099677,0.2284351557099677
male,-0.2284180048619632,0.2284180048619632
perceived_personal_riskq297_4,0.20240904849675792,0.20240904849675792
trump_approval_retrospective,0.1887872631046386,0.1887872631046386
evangelical,0.1862885552896297,0.1862885552896297
party_id_Republican,-0.15395596537954953,0.15395596537954953
income,-0.1483165044022894,0.1483165044022894
pandemic_impact_personal,-0.14618220702227883,0.14618220702227883
race_4,-0.1344801259314108,0.1344801259314108
trust_science_polmotives,-0.12613204394467156,0.12613204394467156
trust_gov_state,0.12348178549813942,0.12348178549813942
individual_responsibility,0.12009341276573611,0.12009341276573611
infected_network,-0.11751424065892088,0.11751424065892088
nsindex,-0.09693667983602251,0.09693667983602251
party_id_Independent,0.08480806072392595,0.08480806072392595
fear_needles,0.07963004311081143,0.07963004311081143
psindex,0.045833578703102194,0.045833578703102194
race_3,0.03330639164755781,0.03330639164755781
county_density,-0.018147448193926188,0.018147448193926188
trust_media,0.013688922710713588,0.013688922710713588
trust_science_politicians,0.011829928523726036,0.011829928523726036
trust_gov_local,-0.002959455162271611,0.002959455162271611
trust_science_media,0.0002589264533943422,0.0002589264533943422
pandemic_impact_network,0.0,0.0
condition_heart,0.0,0.0
condition_obesity,0.0,0.0
condition_diabetes,0.0,0.0
condition_lung,0.0,0.0
condition_asthma,0.0,0.0
condition_pregnant,0.0,0.0
party_id_Libertarian,0.0,0.0
trust_gov_nat,0.0,0.0
